strain	strain_name	segment	date	host	country	ORF2_type
LN854565	GII/Hu/NL/2012/GII.4/Groningen	NA	NA	Human	NA	GII.4
LN854567	GII/Hu/NL/2014/GII.4/Groningen02	NA	NA	Human	NA	GII.4
KM258128	12_BA_1/2012/GII.Pe/GII.4_Sydney	NA	2012-03-XX	Human	Taiwan	GII.4
LN854564	GI/Hu/NL/2012/GI.6/Groningen	NA	NA	Human	NA	GI.6
AB933736	Hu/GII.4/Aichi2/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933726	Hu/GII.4/Ehime4/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933674	Hu/GII.4/Miyazaki3/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
AB933692	Hu/GII.4/Nagano5/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933665	Hu/GII.4/Aichi5/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
AB933746	Hu/GII.4/Osaka1/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933695	Hu/GII.4/Sakai10/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933699	Hu/GII.4/Akita2/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933712	Hu/GII.4/Aomori6/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933662	Hu/GII.4/Chiba3/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
AB933713	Hu/GII.4/Aomori7/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933653	Hu/GII.4/Aichi1/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933696	Hu/GII.4/Shimane1/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933684	Hu/GII.4/Sakai4/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
AB933745	Hu/GII.4/Aichi3/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
KJ407076	Hu/GII.4/HS66/2001/USA	NA	2001-XX-XX	Human	USA	GII.4
AB933757	Hu/GII.4/Saga4/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933727	Hu/GII.4/Chiba10/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933680	Hu/GII.4/Fukui3/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
AB933753	Hu/GII.4/Ehime4/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933651	Hu/GII.4/Hiroshimacity5/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933741	Hu/GII.4/Chiba4/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933701	Hu/GII.4/Akita3/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933739	Hu/GII.4/Fukui1/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933691	Hu/GII.4/Miyazaki5/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
AB933737	Hu/GII.4/Aichi3/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933700	Hu/GII.4/Toyama2/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933752	Hu/GII.4/Ehime2/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933652	Hu/GII.4/Iwate2/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933669	Hu/GII.4/Sakai1/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
AB933687	Hu/GII.4/Shimane4/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
AB933764	Hu/GII.4/Osaka1/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933768	Hu/GII.4/Nagano7/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933698	Hu/GII.4/Hiroshimacity2/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933694	Hu/GII.4/Sakai9/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
KC894731	Hu/GIV.1/CCDC_GR1113_59/CHN/2011	NA	2011-07-20	Human	China	
AB933706	Hu/GII.4/Saga1/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933683	Hu/GII.4/Sakai3/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
AB933704	Hu/GII.4/Ehime1/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933658	Hu/GII.4/Aomori4/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
AB933722	Hu/GII.4/Ehime3/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933761	Hu/GII.4/Osaka4/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933671	Hu/GII.4/Hiroshima3/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
AB933766	Hu/GII.4/Aichi4/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933719	Hu/GII.4/Hiroshima1/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933748	Hu/GII.4/Ehime5/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933732	Hu/GII.4/Hokkaido2/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933758	Hu/GII.4/Chiba6/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933661	Hu/GII.4/Chiba1/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
AB933690	Hu/GII.4/Miyazaki4/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
AB933711	Hu/GII.4/Aomori5/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
KJ407075	Hu/GII.4/HS288/2012/USA	NA	2012-03-01	Human	USA	GII.4
KR154231	Hu/GII.17/CGMH70/2015/TW	NA	2015-XX-XX	Human	Taiwan	GII.17
AB933672	Hu/GII.4/Hiroshima4/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
KJ407072	Hu/GII.6/HS245/2010/USA	NA	2010-12-21	Human	USA	GII.6
AB933657	Hu/GII.4/Aomori3/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
AB933763	Hu/GII.4/Osaka2/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933730	Hu/GII.4/Ehime1/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933647	Hu/GII.4/Aomori1/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
LN854563	GI/Hu/NL/2011/GI.4/Groningen	NA	NA	Human	NA	GI.4
AB933689	Hu/GII.4/Saga5/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
AB933663	Hu/GII.4/Chiba5/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
AB933718	Hu/GII.4/Aichi1/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933649	Hu/GII.4/Hiroshimacity3/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933717	Hu/GII.4/Toyama5/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933771	Hu/GII.4/Hiroshimacity1/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933693	Hu/GII.4/Sakai7/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933668	Hu/GII.4/Osaka4/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
AB933686	Hu/GII.4/Ehime5/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
AB933721	Hu/GII.4/Hiroshima4/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933733	Hu/GII.4/Hokkaido5/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933735	Hu/GII.4/Iwate4/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933743	Hu/GII.4/Nagano4/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933648	Hu/GII.4/Aomori2/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933762	Hu/GII.4/Hokkaido4/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933765	Hu/GII.4/Aichi5/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
KT589391	GII/Hu/HKG/2015/GII.Pe_GII.17/CUHK_NS_682	NA	2015-06-30	Human	Hong_Kong	GII.17
AB933750	Hu/GII.4/Hiroshima1/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933667	Hu/GII.4/Osaka3/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
AB933703	Hu/GII.4/Shimane4/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933655	Hu/GII.4/Shimane2/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933747	Hu/GII.4/Osaka5/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933731	Hu/GII.4/Hokkaido1/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
KT253245	Hu/GII.17/CHN/2015/ZHITHC_12	NA	2015-XX-XX	Human	China	GII.17
AB933755	Hu/GII.4/Saga2/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
KJ407073	Hu/GII.4/HS292/2012/USA	NA	2012-05-19	Human	USA	GII.4
AB933688	Hu/GII.4/Shimane5/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
AB933744	Hu/GII.4/Nagano5/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933678	Hu/GII.4/Niigata4/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
AB933656	Hu/GII.4/Miyazaki1/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933709	Hu/GII.4/Hokkaido1/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933734	Hu/GII.4/Aomori5/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933645	Hu/GII.4/Toyama4/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933714	Hu/GII.4/Iwate2/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933742	Hu/GII.4/Nagano2/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933770	Hu/GII.4/Niigata3/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933646	Hu/GII.4/Shimane1/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933754	Hu/GII.4/Saga1/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933707	Hu/GII.4/Saga2/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933673	Hu/GII.4/Miyazaki2/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
AB933666	Hu/GII.4/Osaka2/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
AB933660	Hu/GII.4/Toyama5/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
KJ407074	Hu/GII.2/HS255/2011/USA	NA	2011-01-30	Human	USA	GII.2
AB933720	Hu/GII.4/Hiroshima2/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933728	Hu/GII.4/Akita5/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933654	Hu/GII.4/Aichi4/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933682	Hu/GII.4/Nagano3/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
AB933749	Hu/GII.4/Sakai5/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933724	Hu/GII.4/Aichi3/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933769	Hu/GII.4/Nagano4/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933670	Hu/GII.4/Sakai2/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
AB933650	Hu/GII.4/Hiroshimacity4/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933644	Hu/GII.4/Toyama1/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933756	Hu/GII.4/Saga3/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933740	Hu/GII.4/Chiba2/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933760	Hu/GII.4/Hiroshima5/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
KR154230	Hu/GII.17/CGMH69/2015/TW	NA	2015-XX-XX	Human	Taiwan	GII.17
AB933664	Hu/GII.4/Nagano1/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
AB933738	Hu/GII.4/Niigata5/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933685	Hu/GII.4/Ehime3/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
AB933710	Hu/GII.4/Aomori4/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933767	Hu/GII.4/Hokkaido3/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933659	Hu/GII.4/Iwate5/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
AB933676	Hu/GII.4/Niigata2/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
AB933702	Hu/GII.4/Osaka3/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933679	Hu/GII.4/Fukui2/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
AB933723	Hu/GII.4/Saga3/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933725	Hu/GII.4/Shimane6/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933729	Hu/GII.4/Fukui5/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933751	Hu/GII.4/Hiroshima5/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4
AB933681	Hu/GII.4/Fukui4/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
KJ196298	Nagoya/KY531	NA	2007-XX-XX	Human	Japan	GI.8
AB933697	Hu/GII.4/Shimane2/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933715	Hu/GII.4/Iwate4/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933708	Hu/GII.4/Hiroshimacity3/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933677	Hu/GII.4/Niigata3/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
AB933705	Hu/GII.4/Ehime2/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933759	Hu/GII.4/Nagano26/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
AB933675	Hu/GII.4/Hokkaido4/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4
KT202796	Hu/Guangzhou/GZ2014_L132/CHN/2014	NA	2014-03-05	Human	China	GII.4
KT970370	Hu/Guangzhou/GZ2014_L313/CHN/2014	NA	2014-12-29	Human	China	GII.17
AB983218	Hu/GII/JP/2014/GII.P17_GII.17/Kawasaki323	NA	2014-XX-XX	Human	Japan	GII.17
KT970373	Hu/Guangzhou/GZ2015_L337/CHN/2015	NA	2015-01-29	Human	China	GII.17
KT970377	Hu/Guangzhou/GZ2015_L362/CHN/2015	NA	2015-03-10	Human	China	GII.17
KT970376	Hu/Guangzhou/GZ2015_L343/CHN/2015	NA	2015-01-29	Human	China	GII.17
LC043167	Hu/GII/JP/2013/GII.P17_GII.17/Saitama5203	NA	2013-XX-XX	Human	Japan	GII.17
KT992790	Hu/GII.17/HNkaohao/Nanyang/CHN/2015	NA	2015-03-XX	Human	China	GII.17
KT970374	Hu/Guangzhou/GZ2015_L339/CHN/2015	NA	2015-01-29	Human	China	GII.17
KT202793	Hu/Guangzhou/GZ2013_L10/CHN/2013	NA	2013-11-05	Human	China	GII.4
KT992789	Hu/GII.17/HN05/Nanyang/CHN/2015	NA	2015-03-XX	Human	China	GII.17
KT202795	Hu/Guangzhou/GZ2014_L122/CHN/2014	NA	2014-03-05	Human	China	GII.4
KT970372	Hu/Guangzhou/GZ2015_L325/CHN/2015	NA	2015-01-20	Human	China	GII.17
KT992786	Hu/GII.17/HN02/Nanyang/CHN/2015	NA	2015-03-XX	Human	China	GII.17
KT970375	Hu/Guangzhou/GZ2015_L340/CHN/2015	NA	2015-01-29	Human	China	GII.17
LC037415	Hu/GII/JP/2015/GII.P17_GII.17/Kawasaki308	NA	2015-XX-XX	Human	Japan	GII.17
KT970371	Hu/Guangzhou/GZ2015_L324/CHN/2015	NA	2015-01-20	Human	China	GII.17
KT380915	Hu/GII.17/142700/Shanghai/2014	NA	2014-XX-XX	Human	China	GII.17
KF509947	Hu/GII.4/AlbertaEI337/2011/CA	NA	2011-09-XX	Human	Canada	GII.4
KT992787	Hu/GII.17/HN03/Nanyang/CHN/2015	NA	2015-03-XX	Human	China	GII.17
KT202797	Hu/Guangzhou/GZ2014_L295/CHN/2014	NA	2014-11-17	Human	China	GII.4
KT992788	Hu/GII.17/HN04/Nanyang/CHN/2015	NA	2015-03-XX	Human	China	GII.17
KT202794	Hu/Guangzhou/GZ2014_L106/CHN/2014	NA	2014-02-19	Human	China	GII.4
AB933716	Hu/GII.4/Iwate5/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4
KT202798	Hu/Guangzhou/GZ2014_L307/CHN/2014	NA	2014-11-17	Human	China	GII.4
KT970369	Hu/Guangzhou/GZ2014_L311/CHN/2014	NA	2014-12-29	Human	China	GII.17
LC043168	Hu/GII/JP/2013/GII.P17_GII.17/Saitama5309	NA	2013-XX-XX	Human	Japan	GII.17
KT992785	Hu/GII.17/HN01/Nanyang/CHN/2015	NA	2015-03-XX	Human	China	GII.17
AB972502	Hu/GII.4/GII4_NG1242/2011/JP	NA	NA	Human	Japan	GII.4
AB972486	Hu/GII.4/OsakaCity4/2012/JP	NA	NA	Human	Japan	GII.4
KF509946	Hu/GII.4/AlbertaEI063/2012/CA	NA	2012-01-XX	Human	Canada	GII.4
AB972470	Hu/GII.4/Akita4/2012/JP	NA	NA	Human	Japan	GII.4
AB972480	Hu/GII.4/Fukui6/2012/JP	NA	NA	Human	Japan	GII.4
AB972503	Hu/GII.4/GII4_NG1315/2011/JP	NA	NA	Human	Japan	GII.4
AB972495	Hu/GII.4/Hiroshima5/2012/JP	NA	NA	Human	Japan	GII.4
AB972488	Hu/GII.4/Sakai2/2012/JP	NA	NA	Human	Japan	GII.4
KU311158	OU2	NA	2014-09-XX	Human	Canada	GII.4
AB972465	Hu/GII.4/Hokkaido1/2012/JP	NA	NA	Human	Japan	GII.4
AB972487	Hu/GII.4/Sakai1/2012/JP	NA	NA	Human	Japan	GII.4
AB972472	Hu/GII.4/Iwate4/2012/JP	NA	NA	Human	Japan	GII.4
AB972505	Hu/GII.4/GII4_NG1365/2011/JP	NA	NA	Human	Japan	GII.4
AB972482	Hu/GII.4/Fukui8/2012/JP	NA	NA	Human	Japan	GII.4
AB972494	Hu/GII.4/Hiroshima4/2012/JP	NA	NA	Human	Japan	GII.4
AB972496	Hu/GII.4/HiroshimaCity3/2012/JP	NA	NA	Human	Japan	GII.4
AB972479	Hu/GII.4/Fukui4/2012/JP	NA	NA	Human	Japan	GII.4
AB972469	Hu/GII.4/Aomori5/2012/JP	NA	NA	Human	Japan	GII.4
AB972481	Hu/GII.4/Fukui7/2012/JP	NA	NA	Human	Japan	GII.4
AB972474	Hu/GII.4/Miyagi3/2012/JP	NA	NA	Human	Japan	GII.4
AB972475	Hu/GII.4/Saitama2/2012/JP	NA	NA	Human	Japan	GII.4
KU311163	SP2	NA	2013-04-XX	Human	Canada	GII.4
AB972485	Hu/GII.4/OsakaCity2/2012/JP	NA	NA	Human	Japan	GII.4
AB972498	Hu/GII.4/Ehime3/2012/JP	NA	NA	Human	Japan	GII.4
AB972477	Hu/GII.4/Niigata4/2012/JP	NA	NA	Human	Japan	GII.4
AB972499	Hu/GII.4/GII4_HK01/2011/JP	NA	NA	Human	Japan	GII.4
KU311161	OU4	NA	2012-11-XX	Human	Canada	GI.7
AB972483	Hu/GII.4/Ehime5/2012/JP	NA	NA	Human	Japan	GII.4
AB972467	Hu/GII.4/Aomori2/2012/JP	NA	NA	Human	Japan	GII.4
AB972478	Hu/GII.4/Fukui3/2012/JP	NA	NA	Human	Japan	GII.4
KU311162	SP1	NA	2012-12-XX	Human	Canada	GII.4
AB972493	Hu/GII.4/Shimane5/2012/JP	NA	NA	Human	Japan	GII.4
AB972473	Hu/GII.4/Iwate5/2012/JP	NA	NA	Human	Japan	GII.4
AB972491	Hu/GII.4/Sakai5/2012/JP	NA	NA	Human	Japan	GII.4
AB972484	Hu/GII.4/OsakaCity1/2012/JP	NA	NA	Human	Japan	GII.4
AB972468	Hu/GII.4/Aomori3/2012/JP	NA	NA	Human	Japan	GII.4
AB972500	Hu/GII.4/GII4_HK02/2011/JP	NA	NA	Human	Japan	GII.4
AB972490	Hu/GII.4/Sakai4/2012/JP	NA	NA	Human	Japan	GII.4
AB972489	Hu/GII.4/Sakai3/2012/JP	NA	NA	Human	Japan	GII.4
AB972466	Hu/GII.4/Hokkaido4/2012/JP	NA	NA	Human	Japan	GII.4
AB972492	Hu/GII.4/Shimane3/2012/JP	NA	NA	Human	Japan	GII.4
AB972471	Hu/GII.4/Akita5/2012/JP	NA	NA	Human	Japan	GII.4
AB972504	Hu/GII.4/GII4_NG1343/2011/JP	NA	NA	Human	Japan	GII.4
AB972501	Hu/GII.4/GII4_HK03/2011/JP	NA	NA	Human	Japan	GII.4
AB972476	Hu/GII.4/Toyama2/2012/JP	NA	NA	Human	Japan	GII.4
AB972497	Hu/GII.4/HiroshimaCity4/2012/JP	NA	NA	Human	Japan	GII.4
KT780407	Hu/GII.17/CUHK_NS_603/HKG/2015	NA	2015-XX-XX	Human	Hong_Kong	GII.17
KT780416	Hu/GII.17/CUHK_NS_657/HKG/2015	NA	2015-XX-XX	Human	Hong_Kong	GII.17
KT780400	Hu/GII.17/CUHK_NS_511/HKG/2015	NA	2015-XX-XX	Human	Hong_Kong	GII.17
KT326182	Hu/GII.17/CUHK_NS_667/HKG/2015	NA	2015-XX-XX	Human	Hong_Kong	GII.17
KT780398	Hu/GII.17/CUHK_NS_500/HKG/2014	NA	2014-XX-XX	Human	Hong_Kong	GII.17
KU311160	OU3	NA	2013-11-XX	Human	Canada	GII.5
KT780396	Hu/GII.17/CUHK_NS_492/HKG/2014	NA	2014-XX-XX	Human	Hong_Kong	GII.17
KT780413	Hu/GII.17/CUHK_NS_653/HKG/2015	NA	2015-XX-XX	Human	Hong_Kong	GII.17
KT780406	Hu/GII.17/CUHK_NS_600/HKG/2015	NA	2015-XX-XX	Human	Hong_Kong	GII.17
KT780401	Hu/GII.17/CUHK_NS_517/HKG/2015	NA	2015-XX-XX	Human	Hong_Kong	GII.17
KT780394	Hu/GII.17/CUHK_NS_469/HKG/2014	NA	2014-XX-XX	Human	Hong_Kong	GII.17
KT326180	Hu/GII.17/CUHK_NS_405/HKG/2014	NA	2014-XX-XX	Human	Hong_Kong	GII.17
KT780412	Hu/GII.17/CUHK_NS_647/HKG/2015	NA	2015-XX-XX	Human	Hong_Kong	GII.17
KT780411	Hu/GII.17/CUHK_NS_643/HKG/2015	NA	2015-XX-XX	Human	Hong_Kong	GII.17
KP407450	Hu/CHN/2008/GI.P8_GI.8/Huzhou/N10	NA	2008-XX-XX	Human	China	GI.8
KT780399	Hu/GII.17/CUHK_NS_502/HKG/2014	NA	2014-XX-XX	Human	Hong_Kong	GII.17
KT780403	Hu/GII.17/CUHK_NS_574/HKG/2015	NA	2015-XX-XX	Human	Hong_Kong	GII.17
KT780395	Hu/GII.17/CUHK_NS_482/HKG/2014	NA	2014-XX-XX	Human	Hong_Kong	GII.17
KT780409	Hu/GII.17/CUHK_NS_636/HKG/2015	NA	2015-XX-XX	Human	Hong_Kong	GII.17
KT780415	Hu/GII.17/CUHK_NS_656/HKG/2015	NA	2015-XX-XX	Human	Hong_Kong	GII.17
KT780408	Hu/GII.17/CUHK_NS_627/HKG/2015	NA	2015-XX-XX	Human	Hong_Kong	GII.17
KT780404	Hu/GII.17/CUHK_NS_582/HKG/2015	NA	2015-XX-XX	Human	Hong_Kong	GII.17
KT780405	Hu/GII.17/CUHK_NS_599/HKG/2015	NA	2015-XX-XX	Human	Hong_Kong	GII.17
KT780402	Hu/GII.17/CUHK_NS_549/HKG/2015	NA	2015-XX-XX	Human	Hong_Kong	GII.17
KT780414	Hu/GII.17/CUHK_NS_655/HKG/2015	NA	2015-XX-XX	Human	Hong_Kong	GII.17
KT780397	Hu/GII.17/CUHK_NS_494/HKG/2014	NA	2014-XX-XX	Human	Hong_Kong	GII.17
KT326181	Hu/GII.17/CUHK_NS_649/HKG/2015	NA	2015-XX-XX	Human	Hong_Kong	GII.17
KP998539	GII/Hu/HKG/2014/GII.17/CUHK_NS_463	NA	2014-12-05	Human	Hong_Kong	GII.17
KT780410	Hu/GII.17/CUHK_NS_637/HKG/2015	NA	2015-XX-XX	Human	Hong_Kong	GII.17
KU561251	Hu/GII.P17_GII.17/KR/2013/CAU_85	NA	2013-XX-XX	Human	South_Korea	GII.17
KU561253	Hu/GII.P17_GII.17/KR/2014/CAU_265	NA	2014-XX-XX	Human	South_Korea	GII.17
KU561254	Hu/GII.P17_GII.17/KR/2015/CAU_267	NA	2015-XX-XX	Human	South_Korea	GII.17
KU561255	Hu/GII.P17_GII.17/KR/2015/CAU_283	NA	2015-XX-XX	Human	South_Korea	GII.17
KU561256	Hu/GII.P17_GII.17/KR/2015/CAU_289	NA	2015-XX-XX	Human	South_Korea	GII.17
KU561250	Hu/GII.P17_GII.17/KR/2013/CAU_55	NA	2013-XX-XX	Human	South_Korea	GII.17
KU561252	Hu/GII.P17_GII.17/KR/2014/CAU_192	NA	2014-XX-XX	Human	South_Korea	GII.17
KU557788	Hu/GII.17/2238/GD_JM/2013_08_30	NA	2013-08-30	Human	China	GII.17
KU557784	Hu/GII.17/35_0585/GD_JM/2015_03_17	NA	2015-03-17	Human	China	GII.17
KU557789	Hu/GII.17/1421/GD_FS/2013_09_09	NA	2013-09-09	Human	China	GII.17
KU557785	Hu/GII.17/1085/GD_MM/2014_11_04	NA	2014-11-04	Human	China	GII.17
HQ169542	186/GII.6/USA	NA	2005-XX-XX	Human	USA	GII.6
KU557786	Hu/GII.17/1711/GD_JM/2014_12_26	NA	2014-12-26	Human	China	GII.17
KU557783	Hu/GII.17/35_0584/GD_JM/2015_03_14	NA	2015-03-14	Human	China	GII.17
KU557790	Hu/GII.17/1548/GD_MM/2014	NA	2014-11-03	Human	China	GII.17
KX079488	NoV/Kor/JW	NA	2015-04-01	Human	South_Korea	GII.21
GU930737	E99_13646	NA	1997-03-06	Human	USA	GII.6
KU557787	Hu/GII.17/18_1712/GD_JM/2014_12_26	NA	2014-12-26	Human	China	GII.17
KU757054	Hu/GII/CN/2015/GII.17/FX150123_1	NA	NA	Human	China	GII.17
KU757052	Hu/GII/CN/2014/GII.17/FX141226_31	NA	NA	Human	China	GII.17
KU757047	Hu/GII/CN/2014/GII.17/1401084	NA	NA	Human	China	GII.17
KU757053	Hu/GII/CN/2015/GII.17/TF150108_1	NA	NA	Human	China	GII.17
KU757046	Hu/GII/CN/2013/GII.17/13010141	NA	NA	Human	China	GII.17
KU757051	Hu/GII/CN/2014/GII.17/FX141210_5	NA	NA	Human	China	GII.17
KU757048	Hu/GII/CN/2014/GII.17/1402047	NA	NA	Human	China	GII.17
KU870455	NHBGR59	NA	NA	Human	China	GII.6
KU757049	Hu/GII/CN/2014/GII.17/1401169	NA	NA	Human	China	GII.17
KU757050	Hu/GII/CN/2014/GII.17/1401184	NA	NA	Human	China	GII.17
AB665364	Hu/GII.4/Osaka/NV2210/2007/JP	NA	2007-02-XX	Human	Japan	GII.4
KX158282	14_56	NA	2015-XX-XX	Human	Canada	GII.6
KP784698	GII/Hu/ZAF/2012/GII.P4_GII.4/Johannesburg/BW	NA	2012-XX-XX	Human	South_Africa	GII.4
KX907727	Hu/USA/2015/GII.P16_GII.4_Sydney/CA3477	NA	2015-11-13	Human	USA	GII.4
